,CompanyName,companyNameLinkedin,companyIndustries
1446,Global Care Solutions,Global-Care-Solutions,Computer Software
1447,McKesson,McKesson,Hospital & Health Care
1448,System C Healthcare,System-C-Healthcare,Information Technology & Services
1449,Cliente de Yara Cianci,Cliente-de-Yara-Cianci,Management Consulting
1450,Raox Tecnologia,Raox-Tecnologia,Information Technology & Services
1451,Cinemark,Cinemark,Entertainment
1452,"Seven Seas Co., Ltd",Seven-Seas-Co.-Ltd,Design
1453,Mind Gym,Mind-Gym,Professional Training & Coaching
1454,Atos Consulting,Atos-Consulting,Information Technology & Services
1455,Mint Management Technologies,Mint-Management-Technologies,Marketing & Advertising
1456,LilyPro,LilyPro,Nan
1457,Marbles Coaching,Marbles-Coaching,Marketing & Advertising
1458,PwC South Africa,PwC-South-Africa,Management Consulting
1459,Projectline,Projectline,Marketing & Advertising
1460,Australia Post,Australia-Post,Consumer Services
1461,McMillan Shakespeare (MMSG),McMillan-Shakespeare,Financial Services
1462,FLEETCOR,FLEETCOR,Financial Services
1463,CPMP,CPMP,Non-profit Organization Management
1464,Fletcher Building,Fletcher-Building,Building Materials
1465,Snap,Snap,Architecture & Planning
1466,Universitas Padjadjaran,Universitas-Padjadjaran,Education Management
1467,Universitas Islam Negeri Sunan Gunung Djati,Universitas-Islam-Negeri-Sunan-Gunung-Djati,Newspapers
1468,H5,H5,Information Technology & Services
1469,Voxify,Voxify,Computer Software
1470,[24]7,[24]7,Nan
1471,"A.R.O., Inc.",A.R.O.-Inc.,Nan
1472,zulily,zulily,Retail
1473,"Smart Communications, Inc.",Smart-Communications-Inc.,Telecommunications
1474,Exigo Solutions Inc.,Exigo-Solutions-Inc.,Marketing & Advertising
1475,ISUZU PHILIPPINES CORPORATION,ISUZU-PHILIPPINES-CORPORATION,Automotive
1476,Wipro e Peripherals,Wipro-e-Peripherals,Information Technology & Services
1477,Fruition Partners ANZ,Fruition-Partners-ANZ,Marketing & Advertising
1478,Sasol,Sasol,Chemicals
1479,Voiceq,Voiceq,Computer Software
1480,Computer Sweden/IDG,Computer-Sweden/IDG,Information Technology & Services
1481,IDG (International Data Group),IDG,Real Estate
1482,Deep South Insurance,Deep-South-Insurance,Design
1483,Wipro BPS,Wipro-BPS,Information Technology & Services
1484,Globaltech(I)PVT.LTD,Globaltech,Oil & Energy
1485,Mainspring Healthcare Solutions an Accruent Company,Mainspring-Healthcare-Solutions-an-Accruent-Company,Management Consulting
1486,Plastic Omnium,Plastic-Omnium,Automotive
1487,MAPEI Americas,MAPEI-Americas,Nan
1488,Citic group,Citic-group,Financial Services
1489,BearingPoint,BearingPoint,Management Consulting
1490,FUTECS Corp,FUTECS-Corp,Nan
1491,BASE Corporation,BASE-Corporation,Civil Engineering
1492,ShareWithU Company Limited,ShareWithU-Company-Limited,Internet
1493,Cyber Access Limited,Cyber-Access-Limited,Nan
1494,Aga Khan University Hospital,Aga-Khan-University-Hospital,Hospital & Health Care
1495,DIFX,DIFX,Capital Markets
1496,Globe EL Projects,Globe-EL-Projects,Information Technology & Services
1497,Inobits Consulting,Inobits-Consulting,Information Technology & Services
1498,Gulf Finance,Gulf-Finance,Financial Services
1499,Sharaf Computer and Software Trading LLC,Sharaf-Computer-and-Software-Trading-LLC,Information Technology & Services
1500,www.fang.com,www.fang.com,Nan
1501,"University of California, Los Angeles",University-of-California-Los-Angeles,Nan
1502,AdLINK Internet Media (Now Hi-Media),AdLINK-Internet-Media,Marketing & Advertising
1503,"Evolve Media, LLC",Evolve-Media-LLC,Online Media
1504,Fairfax Digital,Fairfax-Digital,Online Media
1505,AppNexus,AppNexus,Internet
1506,MediaMath,MediaMath,Internet
1507,Australian Centre for Unisys Software (ACUS),Australian-Centre-for-Unisys-Software,Printing
1508,Cybernostics,Cybernostics,Nan
1509,SamySalama,SamySalama,Nan
1510,Computacenter,Computacenter,Information Technology & Services
1511,Independent Consultant,Independent-Consultant,Nan
1512,GroupDeal,GroupDeal,Nan
1513,5 Oceans Media,5-Oceans-Media,Nan
1514,"Terra Global, Life Sciences Recruitment",Terra-Global-Life-Sciences-Recruitment,Nan
1515,KroesKontrol,KroesKontrol,Marketing & Advertising
1516,British American Tobacco,British-American-Tobacco,Tobacco
1517,Memorex Telex,Memorex-Telex,Information Technology & Services
1518,Digital,Digital,Music
1519,RCA Technologies,RCA-Technologies,Information Technology & Services
1520,National Board of Medical Examiners,National-Board-of-Medical-Examiners,Education Management
1521,CSM Technologies Pvt. Ltd.,CSM-Technologies-Pvt.-Ltd.,Information Technology & Services
1522,AIESEC in the Netherlands,AIESEC-in-the-Netherlands,Non-profit Organization Management
1523,De Kleine Consultant,De-Kleine-Consultant,Management Consulting
1524,Unilever,Unilever,Consumer Goods
1525,United States Air Force,United-States-Air-Force,Defense & Space
1526,Exxon Chemical,Exxon-Chemical,Nan
1527,ExxonMobil,ExxonMobil,Oil & Energy
1528,Project Techniques Limited,Project-Techniques-Limited,Aviation & Aerospace
1529,Lendlease,Lendlease,Nan
1530,Bluewater Energy Services,Bluewater-Energy-Services,Oil & Energy
1531,Paul Royal Associates Ltd,Paul-Royal-Associates-Ltd,Nan
1532,ntl,ntl,Nan
1533,Cable&Wireless,Cable&Wireless,Nan
1534,Barclaycard,Barclaycard,Financial Services
1535,TranSys,TranSys,Package/Freight Delivery
1536,Ministry of Justice UK,Ministry-of-Justice-UK,Design
1537,2.00E+02,2.00E+02,Information Technology & Services
1538,Lloyds Banking Group,Lloyds-Banking-Group,Financial Services
1539,ECS,ECS,Management Consulting
1540,XL Capital,XL-Capital,Architecture & Planning
1541,XL Catlin,XL-Catlin,Insurance
1542,The Johns Hopkins University,The-Johns-Hopkins-University,Management Consulting
1543,Bloomberg LP,Bloomberg-LP,Financial Services
1544,fashiate,fashiate,Internet
1545,VoloMetrix,VoloMetrix,Computer Software
1546,Johnson & Johnson,Johnson-&-Johnson,Hospital & Health Care
1547,"Appcara, Inc.",Appcara-Inc.,Nan
1548,ePlus inc.,ePlus-inc.,Nan
1549,Paulgames,Paulgames,Nan
1550,WildTangent,WildTangent,Computer Software
1551,Wildseed,Wildseed,Nan
1552,"Varia, LLC",Varia-LLC,Writing & Editing
1553,Joulespersecond.com,Joulespersecond.com,Nan
1554,Kiha,Kiha,Nan
1555,Gatherball,Gatherball,Nan
1556,JOLT Labs,JOLT-Labs,Computer Software
1557,TurboPatent,TurboPatent,Computer Software
1558,Schroders,Schroders,Investment Management
1559,CXC Global,CXC-Global,Financial Services
1560,Australia Arab Chamber of Commerce & Industry,Australia-Arab-Chamber-of-Commerce-&-Industry,International Trade & Development
1561,SocietyOne,SocietyOne,Financial Services
1562,Bigstone,Bigstone,Nan
1563,Ruckus,Ruckus,Nan
1564,Syncfusion,Syncfusion,Computer Software
1565,iNautix Technologies,iNautix-Technologies,Nan
1566,CMA CGM SYSTEMS,CMA-CGM-SYSTEMS,Information Technology & Services
1567,Blake Dawson,Blake-Dawson,Law Practice
1568,Blackstone Chambers,Blackstone-Chambers,Wholesale
1569,Spasifik Magasine,Spasifik-Magasine,Nan
1570,Federal Court of Australia,Federal-Court-of-Australia,Judiciary
1571,Corrs Chambers Westgarth,Corrs-Chambers-Westgarth,Law Practice
1572,Lou Baker & Associates,Lou-Baker-&-Associates,Retail
1573,Central Coast Community Legal Centre,Central-Coast-Community-Legal-Centre,Design
1574,Inner City Legal Centre (ICLC),Inner-City-Legal-Centre,Photography
1575,Isaiah Research,Isaiah-Research,Market Research
1576,Australian National Audit Office,Australian-National-Audit-Office,Government Administration
1577,Connexxion Technology For Business,Connexxion-Technology-For-Business,Transportation/Trucking/Railroad
1578,Kellogg Brown and Root pty ltd,Kellogg-Brown-and-Root-pty-ltd,Civil Engineering
1579,T&T Engenheiros Associados,T&T-Engenheiros-Associados,Computer Software
1580,V3D Studios,V3D-Studios,Computer Software
1581,AIESEC Singapore,AIESEC-Singapore,Human Resources
1582,Jobstreet,Jobstreet,Nan
1583,Singapore Airlines,Singapore-Airlines,Airlines/Aviation
1584,MediaCom,MediaCom,Marketing & Advertising
1585,News Corp Australia,News-Corp-Australia,Online Media
1586,Jabra,Jabra,Consumer Electronics
1587,Avaya,Avaya,Telecommunications
1588,Navision Software,Navision-Software,Computer Software
1589,Afirma,Afirma,Management Consulting
1590,Technology Management Concepts,Technology-Management-Concepts,Computer Software
1591,M6.Net,M6.Net,Nan
1592,MYCO Systems Pty Ltd,MYCO-Systems-Pty-Ltd,Nan
1593,Housing Industry Association,Housing-Industry-Association,Information Technology & Services
1594,Australian Government,Australian-Government,Government Administration
1595,DIBP,DIBP,Nan
1596,Global CCS Institute,Global-CCS-Institute,Renewables & Environment
1597,Tigmatic,Tigmatic,Nan
1598,Cielo Talent,Cielo-Talent,Human Resources
1599,Meta ServiÃ§os em InformÃ¡tica,Meta-ServiÃ§os-em-InformÃ¡tica,Oil & Energy
1600,Maersk Data Defence,Maersk-Data-Defence,Defense & Space
1601,Progressive A/S,Progressive-A/S,Market Research
1602,Netcompany A/S,Netcompany-A/S,Nan
1603,HCL AXON,HCL-AXON,Nan
